id,title,subject,category,export_scope,message_chars,html_file
131,Black - LOGO,Idealne logo. Za symboliczną złotówkę.,,needs_review,55990,131_black-logo.html
133,Black - NAZWA,Idealna nazwa. Za symboliczną złotówkę.,,needs_review,57268,133_black-nazwa.html
135,Dane dostępowe do nowego konta pocztowego,Dane dostępowe do nowego konta pocztowego,,needs_review,327,135_dane-dostępowe-do-nowego-konta-pocztowego.html
38,FAKTURA - Finał pro forma,,sales|invoice,crm,2474,38_faktura-finał-pro-forma.html
42,FAKTURA - Start pro forma,,sales|invoice,crm,2337,42_faktura-start-pro-forma.html
58,LOGO - oferta,,sales|logo,crm,14652,58_logo-oferta.html
129,NAZWA I LOGO (Pakiet),,,needs_review,17215,129_nazwa-i-logo-pakiet.html
130,NAZWA oferta,,name,crm,17012,130_nazwa-oferta.html
134,Oferta na opiekę nad stroną,Owocna opieka nad stroną,,needs_review,20875,134_oferta-na-opiekę-nad-stroną.html
137,Podłączenie systemu szybkich płatności Przelewy24 do Państwa sklepu,Podłączenie systemu szybkich płatności Przelewy24 do Państwa sklepu,helpdesk,helpdesk,5384,137_podłączenie-systemu-szybkich-płatności-przelewy24-do-państwa.html
8,Problem z uruchomieniem WordPressa,,helpdesk,helpdesk,5859,8_problem-z-uruchomieniem-wordpressa.html
138,Rozwiązanie umowy - STRONY PRO,Przedwczesne rozwiązanie umowy - STRONY PRO,,needs_review,17343,138_rozwiązanie-umowy-strony-pro.html
128,Strona 8000,,,needs_review,48289,128_strona-8000.html
125,Strona - Ewa (Czy mają kasę?),,website,crm,8523,125_strona-ewa-czy-mają-kasę.html
126,Strona - Ewa (Mają kasę!),,website,crm,3228,126_strona-ewa-mają-kasę.html
124,Strona PRO ,,,needs_review,64083,124_strona-pro.html
6,Strona uruchomiana ,,helpdesk,helpdesk,24517,6_strona-uruchomiana.html
136,Strona uruchomiana SKLEP,,,needs_review,41473,136_strona-uruchomiana-sklep.html
7,Uruchomienie strony,,helpdesk,helpdesk,15889,7_uruchomienie-strony.html
